# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
      10.370        0.000      653.195     1157.582
      10.470        0.000      653.195     1157.582
      10.570        0.000      653.195     1157.582
      10.670        0.000      653.195     1157.582
      10.771        0.000      653.195     1157.582
      10.871        0.000      653.195     1157.582
      10.974        0.000      653.195     1157.582
      11.075        0.000      653.195     1157.582
      11.176        0.000      653.195     1157.582
      11.278        0.000      653.195     1157.582
      11.381        0.000      653.195     1157.582
      11.484       56.800      658.816     1316.121
      11.605      100.000      678.102     1316.121
      11.712      100.300      717.555     1292.906
      11.832       57.300      782.203     1286.840
      11.932        0.000      782.238     1286.910
      12.036        0.000      782.238     1286.910
      12.136        0.000      782.277     1286.980
      12.237        0.000      782.277     1286.980
      12.338        0.000      782.277     1286.980
      12.438        0.000      782.277     1286.980
      12.539        0.000      782.277     1286.980
      12.639        0.000      782.277     1286.980
      12.740        0.000      782.277     1286.980
      12.840        0.000      782.277     1286.980
      12.941        0.000      782.277     1286.980
      13.045        0.000      782.277     1286.980
      13.146        0.000      782.277     1286.980
      13.246        0.000      782.277     1286.980
      13.347        0.000      782.277     1286.980
      13.447        0.000      782.277     1286.980
      13.548        0.000      782.277     1286.980
      13.652        0.000      782.277     1286.980
      13.753        0.000      782.277     1286.980
      13.857        0.000      782.277     1286.980
      13.960        0.000      782.277     1286.980
      14.077        0.000      782.277     1286.980
      14.189        0.000      782.277     1286.980
      14.290        0.000      782.277     1286.980
      14.391        0.000      782.277     1286.980
      14.492        0.000      782.277     1286.980
      14.592        0.000      782.277     1286.980
      14.692        0.000      782.277     1286.980
      14.793        0.000      782.277     1286.980
      14.893        0.000      782.277     1286.980
      14.994        0.000      782.277     1286.980
      15.095        0.000      782.277     1286.980
      15.196        0.000      782.277     1286.980
      15.296        0.000      782.277     1286.980
      15.413        0.000      782.277     1286.980
      15.529        0.000      782.277     1286.980
      15.629        0.000      782.277     1286.980
      15.739        0.000      782.277     1286.980
      15.850        0.000      782.277     1286.980
      15.968        0.000      782.277     1286.980
      16.072        0.000      782.277     1286.980
      16.172        0.000      782.277     1286.980
      16.273        0.000      782.277     1286.980
      16.373        0.000      782.277     1286.980
      16.477        0.000      782.277     1286.980
      16.578        0.000      782.277     1286.980
      16.678        0.000      782.277     1286.980
      16.781        0.000      782.277     1286.980
      16.899        0.000      782.277     1286.980
      16.999        0.000      782.277     1286.980
      17.100        0.000      782.277     1286.980
      17.201        0.000      782.277     1286.980
      17.302        0.000      782.277     1286.980
      17.402        0.000      782.277     1286.980
      17.503        0.000      782.277     1286.980
      17.603        0.000      782.277     1286.980
      17.704        0.000      782.277     1286.980
      17.805        0.000      782.277     1286.980
      17.905        0.000      782.277     1286.980
      18.006        0.000      782.277     1286.980
      18.106        0.000      782.277     1286.980
      18.214        0.000      782.277     1286.980
      18.314        0.000      782.277     1286.980
      18.415        0.000      782.277     1286.980
      18.515        0.000      782.277     1286.980
      18.616        0.000      782.277     1286.980
      18.717        0.000      782.277     1286.980
      18.820        0.000      782.277     1286.980
      18.922        0.000      782.277     1286.980
      19.023        0.000      782.277     1286.980
      19.123        0.000      782.277     1286.980
      19.224        0.000      782.277     1286.980
      19.325        0.000      782.277     1286.980
      19.427        0.000      782.277     1286.980
      19.541        0.000      782.277     1286.980
      19.645        0.000      782.277     1286.980
      19.758        0.000      782.277     1286.980
      19.859        0.000      782.277     1286.980
